,fraud_bool,income,name_email_similarity,prev_address_months_count,current_address_months_count,customer_age,days_since_request,intended_balcon_amount,payment_type,zip_count_4w,velocity_6h,velocity_24h,velocity_4w,bank_branch_count_8w,date_of_birth_distinct_emails_4w,employment_status,credit_risk_score,email_is_free,housing_status,phone_home_valid,phone_mobile_valid,bank_months_count,has_other_cards,proposed_credit_limit,foreign_request,source,session_length_in_minutes,device_os,keep_alive_session,device_distinct_emails_8w,month
409919,0,0.5,0.5336445106821359,-1,47,20,0.0104261567828647,-0.7759474132651284,AC,1688,4558.900674530119,5365.870573731195,4703.5774189451095,1,9,CA,169,1,BB,0,0,-1,0,1500.0,0,INTERNET,30.6504083549789,other,0,1,3
679596,0,0.6000000000000001,0.7622125317975368,198,8,20,0.0200513566614941,10.62802410250229,AA,1549,7398.660872811118,3721.304070777394,4155.7301977663565,16,16,CF,157,0,BC,0,1,28,0,500.0,0,INTERNET,2.045171012524619,other,1,1,5
579377,0,0.9,0.3860705118075702,60,12,20,7.009744364772985,51.69546584038687,AA,1520,4387.762259637292,4767.6548779503055,4486.196517162055,15,10,CA,191,1,BA,0,1,29,0,1000.0,0,INTERNET,11.071376280955176,linux,1,1,4
851406,0,0.6000000000000001,0.3113040384141186,-1,221,40,0.0123687660464201,-1.236389388172405,AB,991,1225.9093744473505,3320.181669644412,4124.238088987347,20,11,CB,206,1,BB,1,1,11,0,1500.0,0,INTERNET,10.796589493193247,linux,1,1,6
519975,0,0.1,0.8240454273469435,86,6,20,0.0394847215326123,-0.6590619932548545,AC,1538,6195.832458709456,5272.227868597663,5156.672812369195,0,10,CA,135,1,BE,0,1,-1,0,200.0,0,INTERNET,6.7904457694746645,linux,1,1,3
53034,0,0.9,0.60990630451027,-1,267,20,0.0058781034092708,43.53018173860126,AA,1823,12880.4407670021,5834.581363980367,6422.724755398707,14,12,CA,170,1,BE,1,1,10,0,500.0,0,INTERNET,7.884181601676517,linux,0,1,0
219541,0,0.1,0.9069634525606874,-1,367,30,0.0218061529236088,-1.5614005475551012,AD,1961,996.162503179436,4886.376866126631,4923.811741685715,8,19,CA,347,1,BA,1,0,2,1,1500.0,1,INTERNET,14.047643861991109,other,0,1,1
288102,0,0.6000000000000001,0.6941776182616073,-1,65,20,0.0084421088724355,19.5429111071334,AA,948,6779.505427813859,3622.912752094144,5182.519549962916,9,13,CA,121,0,BE,0,1,20,0,200.0,0,INTERNET,3.702636563658241,other,1,1,2
590437,0,0.6000000000000001,0.139802891474405,89,0,30,0.0202649919195644,12.218801338343956,AA,1189,3759.096983335585,6039.655388855042,5206.825414381009,295,10,CA,114,0,BB,0,1,1,1,200.0,0,INTERNET,3.5650418208831254,other,1,1,4
340707,0,0.1,0.65887421916198,-1,124,40,0.0223466847092565,-1.3369080083875329,AC,2927,4110.526634591909,5358.934553097773,5195.194817890055,0,10,CA,95,1,BB,0,1,-1,1,200.0,0,INTERNET,5.741064658951026,linux,1,1,2
270741,0,0.1,0.4747256970933526,-1,216,50,0.0101606536849178,-1.2283875621981777,AC,1251,7811.452686555403,6909.186320436678,5478.227614946265,0,4,CA,121,0,BA,0,0,-1,0,500.0,0,INTERNET,24.16195467516492,windows,0,1,2
455080,0,0.5,0.7129580136762806,91,13,20,0.008584699983067,50.4940270582035,AA,1124,7278.394743427201,6171.777560299342,5019.447140190548,10,10,CA,95,1,BC,0,1,1,0,200.0,0,INTERNET,3.0988134101060467,other,1,1,3
27289,0,0.5,0.5340590284603456,38,21,30,0.0445317435536199,-1.5365557931147962,AB,3328,9707.344564487936,5943.377570494169,6776.366834195722,15,13,CA,34,1,BB,0,1,28,0,200.0,0,INTERNET,2.7607016201152854,linux,0,1,0
45556,0,0.8,0.2999797827537806,-1,45,50,0.0020605414802094,-1.5967676918332618,AD,5687,10048.55009957732,7411.134019074289,6751.290711252317,13,16,CB,51,1,BB,0,1,30,0,200.0,0,INTERNET,5.82318959617732,windows,1,1,0
871071,0,0.9,0.2680925433143371,-1,139,60,0.0269084394079488,-1.1138522934950723,AB,960,7449.05410592795,4580.570978970709,3773.3471232053353,2,5,CC,131,1,BA,1,1,25,0,200.0,0,INTERNET,69.87005880402587,windows,1,1,6
848983,0,0.8,0.2151589549084056,-1,101,40,0.01228306748743,-1.963156817397448,AB,1328,5507.25804265559,2504.160287793952,4131.764616065245,1417,11,CA,133,1,BB,0,1,1,1,200.0,0,INTERNET,13.609708536501286,linux,1,1,6
557478,0,0.8,0.278467664090325,-1,158,40,0.010794917168066,18.13878936185064,AA,1627,10510.888518642463,5362.545135543428,4496.295985636078,245,3,CA,172,1,BB,0,1,10,1,500.0,0,INTERNET,6.003949615645865,macintosh,0,1,4
460417,0,0.7000000000000001,0.3804691514316394,20,17,20,7.568198014349631,17.2749091930879,AA,1361,9356.230858995708,8925.669727921262,4633.136151991523,2,16,CA,129,1,BC,0,1,-1,0,200.0,0,INTERNET,11.253748937065431,windows,0,1,3
909134,0,0.8,0.8500860323276503,102,45,40,0.028241709540975,-0.9431463141134144,AB,354,3441.0013639226704,3148.126706726108,3021.270318827921,242,4,CB,204,0,BB,1,1,15,0,1000.0,0,INTERNET,1.9862688185331696,other,0,1,7
115348,0,0.3,0.4196783778086241,61,-1,30,0.0011442320688832,97.79464356802336,AA,1440,1979.716639660572,7304.883653025816,6367.447292117618,1,33,CA,129,1,BD,0,1,20,0,500.0,0,INTERNET,4.458228832592429,windows,1,1,0
664781,0,0.9,0.8082007376250908,-1,296,20,0.0130872176000633,49.8024338738316,AA,1420,6892.282676057816,5672.279086740664,4308.800761707288,2019,16,CD,110,0,BE,1,1,9,0,200.0,0,INTERNET,3.8502849447262473,linux,1,1,4
590703,0,0.7000000000000001,0.8177686906216495,11,7,20,0.0065253388416044,-1.0063561737672568,AB,655,6640.589654553603,2679.4170097786223,4385.721943687485,11,8,CA,136,1,BC,0,1,29,0,200.0,0,INTERNET,10.414485840941577,windows,0,1,4
610441,0,0.8,0.7944390682796963,-1,291,20,0.0050187092349028,36.257881032097984,AA,3476,7720.812417447431,5270.15055578999,4968.436071505552,1,14,CA,86,1,BE,0,1,30,0,200.0,0,INTERNET,7.40018885216857,macintosh,1,1,4
966170,0,0.8,0.4046843960741801,59,4,30,0.0105856186857372,-1.3143216377509546,AB,696,4737.5169503589095,2812.420415861245,3125.717099706851,16,11,CA,245,1,BC,1,1,1,0,990.0,0,INTERNET,1.3760658794072516,windows,1,1,7
301708,0,0.8,0.4329518064896945,10,2,30,0.0192176531688877,-1.467052527123884,AC,781,5373.495603489193,2918.739153831141,3144.141363750368,1,14,CA,124,0,BC,0,1,-1,0,500.0,0,INTERNET,5.237632401411108,windows,1,1,2
516452,0,0.1,0.7203027893687182,-1,85,30,0.0394555097157645,-0.9361811673258628,AB,261,1258.9471999651046,6304.712282309413,5102.011561223332,6,9,CA,187,1,BA,0,1,28,0,1500.0,1,INTERNET,10.16738305428902,other,0,1,3
192271,0,0.1,0.5403773984475763,-1,96,20,0.0315088316979089,20.978534210616385,AA,1243,6998.438267683945,5257.957161784563,5412.028332495208,14,22,CA,-117,0,BB,1,0,30,0,200.0,0,INTERNET,3.556040894484635,linux,1,1,1
355933,0,0.3,0.1101841879891338,-1,51,40,1.167606184241754e-05,-1.3879226942558165,AB,1026,11576.942352173935,7187.962086451403,5584.279115828533,782,4,CB,99,0,BB,0,0,21,0,200.0,0,INTERNET,26.52777070574635,linux,1,1,2
924207,0,0.4,0.3839773523920493,-1,17,40,0.0373738686627417,-1.1849123572489233,AB,489,3395.1127810118232,3111.262388278224,3069.2748347145825,11,4,CA,132,1,BA,0,1,28,0,200.0,0,INTERNET,1.5327929873528718,other,0,1,7
779367,0,0.5,0.8030062610886579,-1,195,40,0.0076521570297247,-1.0854048100725455,AD,3062,2008.6554614812133,2575.837368691859,4260.378651622069,8,3,CA,232,1,BB,1,1,25,0,1000.0,0,INTERNET,3.2544994606075943,other,1,1,5
615462,0,0.9,0.3317363102698644,-1,76,40,0.0114109877242894,-0.8922967850977054,AC,1084,7469.368837704459,5769.707307637978,4321.820455386969,0,5,CA,91,0,BD,1,1,-1,0,200.0,0,INTERNET,14.907810324212676,other,0,2,4
978107,0,0.1,0.4385450491644025,-1,123,30,0.0232314076209331,-1.4281460192742008,AC,1950,3930.502577585578,2811.258192704149,3105.574154324416,0,17,CA,114,1,BA,1,1,-1,0,200.0,0,INTERNET,4.404316998811863,linux,1,1,7
253559,0,0.7000000000000001,0.4103671875752291,-1,133,40,0.0240429506307954,-0.5232737002165593,AB,657,3616.892404610544,4820.278388326927,3130.3489217860906,6,7,CA,230,1,BE,1,0,25,0,1500.0,0,INTERNET,4.609331133840509,windows,1,1,1
303453,0,0.4,0.3999263139641687,-1,64,20,0.017989684346012,-0.9898887157563662,AC,3245,1695.950153990629,6633.226741361626,5087.5251049928165,1,13,CA,50,0,BC,0,1,-1,0,200.0,0,INTERNET,7.694237185098835,other,0,1,2
939038,0,0.5,0.2905991672028725,25,10,40,73.47143535884616,-0.4737572149350641,AC,232,3809.247337414527,3215.151622940351,3034.9623450140057,1,9,CA,146,0,BC,1,1,-1,0,200.0,0,INTERNET,1.6306776449126683,windows,0,1,7
141691,0,0.5,0.1364481737355326,-1,54,30,0.0154855147659349,-0.7144715233654118,AB,1854,5548.095515126433,4536.888593095332,5343.243481923428,3,8,CF,74,1,BC,1,1,1,0,200.0,0,INTERNET,3.652769479153958,windows,1,1,1
581766,0,0.1,0.5079517386912582,-1,83,30,0.0052993487340942,-1.4680019605054495,AC,3965,4767.5783111041965,3689.647413470345,5051.599198732344,0,11,CA,2,1,BC,1,1,-1,0,200.0,0,INTERNET,5.034215293120543,linux,1,1,4
311607,0,0.2,0.3961031762447028,-1,113,20,0.0159434327914937,-0.7748697138139083,AC,1734,11482.795859245336,6786.452718953347,5601.81257925817,0,8,CA,38,0,BA,0,1,-1,0,200.0,0,INTERNET,3.0202131473091844,linux,0,1,2
813352,0,0.4,0.0671171939266285,28,5,20,2.7253450181301018,-1.2572902355225324,AC,2490,6714.748327747582,4805.8218228442165,4252.696616788894,0,10,CA,110,0,BC,0,1,-1,0,200.0,0,INTERNET,13.84577965188268,linux,0,1,6
60156,0,0.7000000000000001,0.1976283286786461,-1,22,40,0.0048707219391193,-1.3474729145165183,AB,3926,13016.859118133149,6090.172835186458,6412.175166443844,16,15,CA,67,1,BD,0,1,1,0,1500.0,0,INTERNET,17.92317776131289,other,1,1,0
293763,0,0.5,0.813258566770238,9,28,20,0.0036926284779318,-0.6140979560950338,AC,798,12555.821186880918,8704.62238681424,5097.454876356092,0,13,CA,152,0,BC,0,0,-1,0,1000.0,0,INTERNET,17.818736839558394,other,1,1,2
577803,0,0.9,0.1176403634311444,-1,189,40,0.0013566304972054,-1.1471960590146508,AB,1265,3975.53584421785,3116.2144785216333,4824.082774631448,14,7,CA,147,0,BB,0,0,31,0,200.0,0,INTERNET,9.048844288483895,windows,1,1,4
67295,0,0.8,0.21928280775867,-1,232,50,0.0245688134539537,-1.6101135488951126,AD,1525,8423.896572074407,5265.023542200993,4302.261544724527,4,6,CA,169,0,BE,1,1,5,1,510.0,0,INTERNET,7.078859518901665,other,1,1,0
