step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
183,CASH_OUT,111979.77,C469489396,25021.0,0.0,C378419511,396580.04,508559.81,0
185,CASH_OUT,95198.49,C1783382289,143991.0,48792.51,C2001708620,2939.24,98137.73,0
10,CASH_OUT,163239.95,C1680102368,502232.03,338992.09,C1286783796,170192.81,0.0,0
208,CASH_OUT,479700.06,C1469158979,266826.0,0.0,C943774302,13842.18,493542.23,0
402,CASH_OUT,317353.24,C130561079,0.0,0.0,C1173729719,2760546.43,3077899.67,0
394,CASH_OUT,22948.6,C903587750,19890.0,0.0,C1717513242,2702012.65,2724961.24,0
306,CASH_OUT,137456.0,C2144996386,0.0,0.0,C1841033695,597139.53,734595.53,0
140,TRANSFER,1415813.34,C2087138697,0.0,0.0,C1636050357,7166213.7,8582027.04,0
43,CASH_OUT,223765.72,C577178839,0.0,0.0,C691823955,488551.86,712317.58,0
136,CASH_OUT,85412.73,C1967417268,0.0,0.0,C875404163,474211.56,559624.3,0
130,TRANSFER,1568054.86,C952262507,0.0,0.0,C1489915022,1762507.0,3330561.86,0
16,CASH_OUT,203461.87,C475253851,940937.0,737475.13,C1678180772,59668.29,263130.16,0
393,CASH_OUT,69818.98,C493300546,0.0,0.0,C1122270707,396473.15,466292.13,0
297,CASH_OUT,12536.57,C949698390,0.0,0.0,C907069728,718283.57,730820.14,0
155,CASH_OUT,77383.17,C283540173,11470.0,0.0,C484725664,0.0,77383.17,0
692,CASH_OUT,540485.86,C429203840,0.0,0.0,C891509726,1128007.63,1668493.49,0
184,CASH_OUT,60006.36,C556525212,0.0,0.0,C1915842944,295758.4,355764.76,0
545,CASH_OUT,603.77,C2013653081,0.0,0.0,C610078584,1743053.42,1743657.18,0
35,TRANSFER,480071.86,C1133460756,0.0,0.0,C1146944728,1136677.9,1645444.5,0
331,CASH_OUT,143363.61,C1799761693,10078.01,0.0,C1726675069,954860.57,1098224.18,0
251,CASH_OUT,292719.93,C320068233,0.0,0.0,C1967960001,750000.89,1042720.82,0
376,CASH_OUT,311078.85,C178163793,150933.0,0.0,C932199876,472160.67,783239.51,0
153,TRANSFER,190426.73,C592288600,0.0,0.0,C914815740,1559257.78,1749684.51,0
157,CASH_OUT,242404.64,C1428888508,0.0,0.0,C852020820,1719575.49,1961980.12,0
180,CASH_OUT,446564.3,C117505610,14359.0,0.0,C598664848,4229977.31,4676541.61,0
42,CASH_OUT,42532.12,C2042744180,0.0,0.0,C701942093,3146383.98,3292826.1,0
648,CASH_OUT,1086227.44,C1878954477,1086227.44,0.0,C1745741148,1017455.87,2103683.3,1
567,CASH_OUT,247246.05,C2021026921,0.0,0.0,C1680321222,249772.35,497018.4,0
354,CASH_OUT,55643.53,C1497867943,21305.0,0.0,C1372583550,1812191.51,1867835.03,0
307,CASH_OUT,220213.24,C2003537711,151.0,0.0,C1773562235,285869.46,506082.7,0
582,CASH_OUT,161347.49,C1245272868,48634.76,0.0,C47351846,2237504.7,2398852.19,0
184,CASH_OUT,69875.19,C728372595,0.0,0.0,C1754514156,337129.39,407004.58,0
250,TRANSFER,707220.48,C353669400,51634.04,0.0,C1261189090,1886900.66,2594121.14,0
249,TRANSFER,507648.16,C1434941056,99885.0,0.0,C495612469,0.0,507648.16,0
278,CASH_OUT,369686.0,C569489731,0.0,0.0,C548206469,718382.42,1088068.43,0
253,CASH_OUT,279235.71,C347958567,5483.0,0.0,C559429564,700704.93,979940.64,0
538,CASH_OUT,50484.13,C376698221,223.0,0.0,C1118204221,0.0,50484.13,0
